            [852229] | main() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_phiopt() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tail_recursion() {
   0.041 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_if_to_switch() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_convert_switch() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cleanup_eh() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sccopy() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_profile() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_local_pure_const() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_modref() {
   0.040 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_split_functions() {
   0.040 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_strip_predict_hints() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_release_ssa_names() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.269 us [852229] |     make_pass_ipa_remove_symbols();
            [852229] |     make_pass_ipa_strub() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_oacc() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_pta() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_oacc_kernels() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_oacc_kernels() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.192 us [852229] |     make_pass_ch();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_lim() {
   0.133 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_dominator() {
   0.146 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_dce() {
   0.134 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_parallelize_loops() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_expand_omp_ssa() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_target_clone() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_auto_profile() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_tree_profile() {
   0.150 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_feedback_split_functions() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_free_fn_summary() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_increase_alignment() {
   0.070 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_tm() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_lower_emutls() {
   0.132 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_analyzer() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_odr() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_whole_program_visibility() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_profile() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_icf() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_devirt() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_cp() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_sra() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_cdtor_merge() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_fn_summary() {
   0.042 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_inline() {
   0.039 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_pure_const() {
   0.040 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_modref() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_ipa_reference() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_single_use() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ipa_comdats() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_omp_simd_clone() {
   0.034 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_lower_eh_dispatch() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_oacc_loop_designation() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_omp_oacc_neuter_broadcast() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_oacc_device_lower() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_omp_device_lower() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_omp_target_link() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_adjust_alignment() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_harden_control_flow_redundancy() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_object_sizes() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_post_ipa_warn() {
   0.153 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.049 us [852229] |     pointer_query::pointer_query();
            [852229] |     make_pass_rebuild_frequencies() {
   0.133 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_complete_unrolli() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_backprop() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_build_alias() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_return_slot() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_thread_jumps_full() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_vrp() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_stdarg() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_call_cdce() {
   0.177 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cselim() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_copy_prop() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tree_ifcombine() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_lower_complex() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_bitint() {
   0.039 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sra() {
   0.051 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_thread_jumps() {
   0.038 us [852229] |       opt_pass::opt_pass();
   0.040 us [852229] |     opt_pass::opt_pass();
   0.040 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_isolate_erroneous_paths() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_reassoc() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.039 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_expand_powcabs() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_optimize_bswap() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_laddress() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.044 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_pre() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sink_code() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sancov() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_asan() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tsan() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_fix_loops() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tree_loop() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tree_loop_init() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tree_unswitch() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_loop_split() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_scev_cprop() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_loop_versioning() {
   0.255 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_loop_jam() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_iv_canon() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_loop_distribution() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_linterchange() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_graphite() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_graphite_transforms() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.425 us [852229] |     make_pass_ch_vect();
            [852229] |     make_pass_if_conversion() {
   0.131 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_vectorize() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_predcom() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_complete_unroll() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.285 us [852229] |     make_pass_pre_slp_scalar_cleanup();
   0.044 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_slp_vectorize() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_loop_prefetch() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_iv_optimize() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_tree_loop_done() {
   0.034 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tree_no_loop() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_simduid_cleanup() {
   0.105 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_vector_ssa() {
   0.145 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_switch() {
   0.040 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cse_sincos() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cse_reciprocals() {
   0.036 us [852229] |       opt_pass::opt_pass();
   0.050 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_strength_reduction() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_split_paths() {
   0.135 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tracer() {
   0.136 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_strlen() {
   0.038 us [852229] |       opt_pass::opt_pass();
   0.041 us [852229] |     opt_pass::opt_pass();
   0.043 us [852229] |     opt_pass::opt_pass();
   0.042 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_warn_restrict() {
   0.137 us [852229] |       opt_pass::opt_pass();
   0.098 us [852229] |       pointer_query::pointer_query();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.045 us [852229] |     opt_pass::opt_pass();
   0.040 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_fold_builtins() {
   0.138 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_optimize_widening_mul() {
   0.123 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_store_merging() {
   0.137 us [852229] |       opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_tail_calls() {
   0.037 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_split_crit_edges() {
   0.132 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_late_warn_uninitialized() {
   0.146 us [852229] |       opt_pass::opt_pass();
   0.042 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_uncprop() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
   0.040 us [852229] |     opt_pass::opt_pass();
   0.039 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.038 us [852229] |     opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.045 us [852229] |     opt_pass::opt_pass();
   0.039 us [852229] |     opt_pass::opt_pass();
   0.040 us [852229] |     opt_pass::opt_pass();
   0.044 us [852229] |     opt_pass::opt_pass();
   0.037 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_assumptions() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tm_init() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tm_mark() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tm_memopt() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tm_edges() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_vtable_verify() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_vaarg() {
   0.137 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_vector() {
   0.133 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_complex_O0() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_bitint_O0() {
   0.134 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sancov_O0() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_switch_O0() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_asan_O0() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_tsan_O0() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sanopt() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.045 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_lower_resx() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_nrv() {
   0.154 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_gimple_isel() {
   0.125 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_harden_conditional_branches() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_harden_compares() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
   0.048 us [852229] |     pointer_query::pointer_query();
            [852229] |     make_pass_cleanup_cfg_post_optimizing() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_warn_function_noreturn() {
   0.129 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_expand() {
   0.131 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_instantiate_virtual_regs() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_into_cfg_layout_mode() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_jump() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_subreg() {
   0.039 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_df_initialize_opt() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cse() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_fwprop() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_cprop() {
   0.157 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_pre() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_hoist() {
   0.037 us [852229] |       opt_pass::opt_pass();
   0.036 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_rtl_store_motion() {
   0.130 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cse_after_global_opts() {
   0.129 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_ifcvt() {
   0.126 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_reginfo_init() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_loop2() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_loop_init() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_move_loop_invariants() {
   0.034 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_unroll_loops() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_doloop() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_loop_done() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_subreg2() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_web() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_stv() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_cse2() {
   0.135 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_dse1() {
   0.223 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_rtl_fwprop_addr() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_inc_dec() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_initialize_regs() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ud_rtl_dce() {
   0.034 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_combine() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_remove_partial_avx_dependency() {
   0.035 us [852229] |       opt_pass::opt_pass();
   0.035 us [852229] |     opt_pass::opt_pass();
            [852229] |     make_pass_if_after_combine() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_jump_after_combine() {
   0.131 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_partition_blocks() {
   0.130 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_outof_cfg_layout_mode() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_split_all_insns() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_lower_subreg3() {
   0.034 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_df_initialize_no_opt() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_stack_ptr_mod() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_mode_switching() {
   0.155 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_match_asm_constraints() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sms() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_live_range_shrinkage() {
   0.042 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_sched() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_early_remat() {
   0.034 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ira() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_reload() {
   0.036 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_postreload_cse() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_insert_vzeroupper() {
   0.035 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_gcse2() {
   0.042 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_split_after_reload() {
   0.130 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_ree() {
   0.038 us [852229] |       opt_pass::opt_pass();
            [852229] |     make_pass_compare_elim_after_reload() {
   0.035 us [852229] |       opt_pass::opt_pass();
